Date,Price,Quantity Sold,exterior,rarity
Jul 11 2021 01: +0,16.946,262,Field-Tested,Covert
Jul 12 2021 01: +0,16.853,265,Field-Tested,Covert
Jul 13 2021 01: +0,16.712,252,Field-Tested,Covert
Jul 14 2021 01: +0,16.7,267,Field-Tested,Covert
Jul 15 2021 01: +0,16.655,258,Field-Tested,Covert
Jul 16 2021 01: +0,16.908,247,Field-Tested,Covert
Jul 17 2021 01: +0,16.822,234,Field-Tested,Covert
Jul 18 2021 01: +0,16.882,241,Field-Tested,Covert
Jul 19 2021 01: +0,17.184,269,Field-Tested,Covert
Jul 20 2021 01: +0,17.458,251,Field-Tested,Covert
Jul 21 2021 01: +0,17.124,224,Field-Tested,Covert
Jul 22 2021 01: +0,17.041,231,Field-Tested,Covert
Jul 23 2021 01: +0,17.267,244,Field-Tested,Covert
Jul 24 2021 01: +0,17.412,271,Field-Tested,Covert
Jul 25 2021 01: +0,17.224,257,Field-Tested,Covert
Jul 26 2021 01: +0,17.614,224,Field-Tested,Covert
Jul 27 2021 01: +0,17.696,160,Field-Tested,Covert
Jul 28 2021 01: +0,17.115,268,Field-Tested,Covert
Jul 29 2021 01: +0,17.37,285,Field-Tested,Covert
Jul 30 2021 01: +0,16.991,259,Field-Tested,Covert
Jul 31 2021 01: +0,16.832,286,Field-Tested,Covert
Aug 01 2021 01: +0,16.669,290,Field-Tested,Covert
Aug 02 2021 01: +0,16.963,272,Field-Tested,Covert
Aug 03 2021 01: +0,16.687,280,Field-Tested,Covert
Aug 04 2021 01: +0,16.696,265,Field-Tested,Covert
Aug 05 2021 01: +0,17.141,250,Field-Tested,Covert
Aug 06 2021 01: +0,16.628,301,Field-Tested,Covert
Aug 07 2021 01: +0,16.759,282,Field-Tested,Covert
Aug 08 2021 01: +0,15.925,291,Field-Tested,Covert
Aug 09 2021 01: +0,16.242,240,Field-Tested,Covert
Aug 10 2021 01: +0,16.422,282,Field-Tested,Covert
Aug 11 2021 01: +0,15.713,276,Field-Tested,Covert
Aug 12 2021 01: +0,15.693,271,Field-Tested,Covert
Aug 13 2021 01: +0,15.385,276,Field-Tested,Covert
Aug 14 2021 01: +0,15.362,278,Field-Tested,Covert
Aug 15 2021 01: +0,15.819,260,Field-Tested,Covert
Aug 16 2021 01: +0,15.179,285,Field-Tested,Covert
Aug 17 2021 01: +0,15.118,275,Field-Tested,Covert
Aug 18 2021 01: +0,14.948,295,Field-Tested,Covert
Aug 19 2021 01: +0,14.87,265,Field-Tested,Covert
Aug 20 2021 01: +0,14.949,300,Field-Tested,Covert
Aug 21 2021 01: +0,15.014,292,Field-Tested,Covert
Aug 22 2021 01: +0,15.258,286,Field-Tested,Covert
Aug 23 2021 01: +0,14.925,288,Field-Tested,Covert
Aug 24 2021 01: +0,14.915,269,Field-Tested,Covert
Aug 25 2021 01: +0,14.878,259,Field-Tested,Covert
Aug 26 2021 01: +0,14.877,256,Field-Tested,Covert
Aug 27 2021 01: +0,14.669,299,Field-Tested,Covert
Aug 28 2021 01: +0,14.84,282,Field-Tested,Covert
Aug 29 2021 01: +0,14.909,272,Field-Tested,Covert
Aug 30 2021 01: +0,15.049,286,Field-Tested,Covert
Aug 31 2021 01: +0,14.9,266,Field-Tested,Covert
Sep 01 2021 01: +0,15.573,269,Field-Tested,Covert
Sep 02 2021 01: +0,15.416,225,Field-Tested,Covert
Sep 03 2021 01: +0,15.397,269,Field-Tested,Covert
Sep 04 2021 01: +0,15.577,274,Field-Tested,Covert
Sep 05 2021 01: +0,15.213,323,Field-Tested,Covert
Sep 06 2021 01: +0,14.887,267,Field-Tested,Covert
Sep 07 2021 01: +0,14.931,263,Field-Tested,Covert
Sep 08 2021 01: +0,14.756,247,Field-Tested,Covert
Sep 09 2021 01: +0,14.819,245,Field-Tested,Covert
Sep 10 2021 01: +0,14.858,308,Field-Tested,Covert
Sep 11 2021 01: +0,14.868,333,Field-Tested,Covert
Sep 12 2021 01: +0,14.838,298,Field-Tested,Covert
Sep 13 2021 01: +0,15.082,272,Field-Tested,Covert
Sep 14 2021 01: +0,14.847,278,Field-Tested,Covert
Sep 15 2021 01: +0,14.447,284,Field-Tested,Covert
Sep 16 2021 01: +0,14.749,272,Field-Tested,Covert
Sep 17 2021 01: +0,14.489,325,Field-Tested,Covert
Sep 18 2021 01: +0,14.448,329,Field-Tested,Covert
Sep 19 2021 01: +0,14.248,330,Field-Tested,Covert
Sep 20 2021 01: +0,14.38,273,Field-Tested,Covert
Sep 21 2021 01: +0,14.194,265,Field-Tested,Covert
Sep 22 2021 01: +0,11.428,1356,Field-Tested,Covert
Sep 23 2021 01: +0,11.525,548,Field-Tested,Covert
Sep 24 2021 01: +0,11.902,459,Field-Tested,Covert
Sep 25 2021 01: +0,12.221,381,Field-Tested,Covert
Sep 26 2021 01: +0,12.617,386,Field-Tested,Covert
Sep 27 2021 01: +0,12.367,390,Field-Tested,Covert
Sep 28 2021 01: +0,12.132,316,Field-Tested,Covert
Sep 29 2021 01: +0,12.144,394,Field-Tested,Covert
Sep 30 2021 01: +0,12.243,385,Field-Tested,Covert
Oct 01 2021 01: +0,12.197,397,Field-Tested,Covert
Oct 02 2021 01: +0,12.514,405,Field-Tested,Covert
Oct 03 2021 01: +0,12.79,389,Field-Tested,Covert
Oct 04 2021 01: +0,12.677,301,Field-Tested,Covert
Oct 05 2021 01: +0,12.952,328,Field-Tested,Covert
Oct 06 2021 01: +0,13.135,321,Field-Tested,Covert
Oct 07 2021 01: +0,13.494,333,Field-Tested,Covert
Oct 08 2021 01: +0,13.257,338,Field-Tested,Covert
Oct 09 2021 01: +0,13.433,357,Field-Tested,Covert
Oct 10 2021 01: +0,13.365,319,Field-Tested,Covert
Oct 11 2021 01: +0,13.307,283,Field-Tested,Covert
Oct 12 2021 01: +0,13.288,293,Field-Tested,Covert
Oct 13 2021 01: +0,13.347,334,Field-Tested,Covert
Oct 14 2021 01: +0,13.156,331,Field-Tested,Covert
Oct 15 2021 01: +0,12.801,336,Field-Tested,Covert
Oct 16 2021 01: +0,13.215,342,Field-Tested,Covert
Oct 17 2021 01: +0,12.922,316,Field-Tested,Covert
Oct 18 2021 01: +0,12.817,284,Field-Tested,Covert
Oct 19 2021 01: +0,12.917,269,Field-Tested,Covert
Oct 20 2021 01: +0,12.91,300,Field-Tested,Covert
Oct 21 2021 01: +0,12.767,321,Field-Tested,Covert
Oct 22 2021 01: +0,11.359,705,Field-Tested,Covert
Oct 23 2021 01: +0,11.785,436,Field-Tested,Covert
Oct 24 2021 01: +0,11.835,374,Field-Tested,Covert
Oct 25 2021 01: +0,11.723,337,Field-Tested,Covert
Oct 26 2021 01: +0,12.086,301,Field-Tested,Covert
Oct 27 2021 01: +0,12.031,294,Field-Tested,Covert
Oct 28 2021 01: +0,12.276,349,Field-Tested,Covert
Oct 29 2021 01: +0,12.158,403,Field-Tested,Covert
